Label (Grouping),AGE BY EDUCATIONAL ATTAINMENT,    Population 18 to 24 years,        Less than high school graduate,        High school graduate (includes equivalency),        Some college or associate's degree,        Bachelor's degree or higher,    Population 25 years and over,        Less than 9th grade,"        9th to 12th grade, no diploma",        High school graduate (includes equivalency),"        Some college, no degree",        Associate's degree,        Bachelor's degree,        Graduate or professional degree,        High school graduate or higher,        Bachelor's degree or higher,    Population 25 to 34 years,        High school graduate or higher,        Bachelor's degree or higher,    Population 35 to 44 years,        High school graduate or higher,        Bachelor's degree or higher,    Population 45 to 64 years,        High school graduate or higher,        Bachelor's degree or higher,    Population 65 years and over,        High school graduate or higher,        Bachelor's degree or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,    White alone,        High school graduate or higher,        Bachelor's degree or higher,"    White alone, not Hispanic or Latino",        High school graduate or higher,        Bachelor's degree or higher,    Black alone,        High school graduate or higher,        Bachelor's degree or higher,    American Indian or Alaska Native alone,        High school graduate or higher,        Bachelor's degree or higher,    Asian alone,        High school graduate or higher,        Bachelor's degree or higher,    Native Hawaiian and Other Pacific Islander alone,        High school graduate or higher,        Bachelor's degree or higher,    Some other race alone,        High school graduate or higher,        Bachelor's degree or higher,    Two or more races,        High school graduate or higher,        Bachelor's degree or higher,    Hispanic or Latino Origin,        High school graduate or higher,        Bachelor's degree or higher,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,    Less than high school graduate,    High school graduate (includes equivalency),    Some college or associate's degree,    Bachelor's degree or higher,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS),    Population 25 years and over with earnings,        Less than high school graduate,        High school graduate (includes equivalency),        Some college or associate's degree,        Bachelor's degree,        Graduate or professional degree
"Census Tract 9708.04, Carteret County, North Carolina!!Percent Female!!Estimate",,(X),13.80%,22.30%,27.70%,36.20%,(X),1.70%,1.00%,21.40%,24.20%,11.10%,24.10%,16.60%,97.30%,40.60%,(X),98.30%,44.60%,(X),100.00%,40.50%,(X),99.70%,45.40%,(X),91.60%,31.90%,,(X),98.90%,39.40%,(X),98.90%,39.50%,(X),100.00%,38.90%,(X),100.00%,0.00%,(X),63.80%,58.00%,(X),-,-,(X),100.00%,52.60%,(X),100.00%,53.30%,(X),100.00%,71.40%,,0.00%,0.60%,4.10%,4.60%,,(X),(X),(X),(X),(X),(X)
"Census Tract 9708.04, Carteret County, North Carolina!!Percent Female!!Margin of Error",,(X),±20.0,±23.4,±24.0,±40.0,(X),±2.5,±0.8,±5.0,±5.5,±4.4,±6.3,±5.2,±2.7,±6.6,(X),±3.3,±21.6,(X),±14.3,±14.1,(X),±0.5,±11.9,(X),±8.9,±11.5,,(X),±0.9,±6.7,(X),±0.9,±6.7,(X),±77.5,±51.4,(X),±100.0,±100.0,(X),±44.1,±42.9,(X),**,**,(X),±75.5,±52.6,(X),±60.1,±52.5,(X),±87.9,±51.2,,±52.7,±1.0,±3.7,±4.9,,(X),(X),(X),(X),(X),(X)
"Census Tract 9708.05, Carteret County, North Carolina!!Total!!Estimate",,113,17,31,65,0,"1,183",32,106,413,312,127,111,82,"1,045",193,161,148,46,182,173,52,551,508,78,289,216,17,,"1,047",909,162,"1,035",897,162,4,4,0,2,2,0,51,51,31,0,0,0,0,0,0,79,79,0,12,12,0,,(X),(X),(X),(X),,"36,481","31,296","46,143","27,583","43,889","143,173"
"Census Tract 9708.05, Carteret County, North Carolina!!Total!!Margin of Error",,±93,±16,±33,±66,±13,±151,±24,±70,±78,±103,±56,±51,±64,±146,±84,±84,±77,±38,±77,±75,±50,±103,±91,±44,±40,±46,±16,,±145,±152,±64,±144,±151,±64,±8,±8,±13,±5,±5,±13,±52,±52,±47,±13,±13,±13,±13,±13,±13,±42,±42,±13,±19,±19,±13,,(X),(X),(X),(X),,"±11,799","±1,415","±15,433","±14,429","±25,018","±88,432"
"Census Tract 9708.05, Carteret County, North Carolina!!Percent!!Estimate",,(X),15.00%,27.40%,57.50%,0.00%,(X),2.70%,9.00%,34.90%,26.40%,10.70%,9.40%,6.90%,88.30%,16.30%,(X),91.90%,28.60%,(X),95.10%,28.60%,(X),92.20%,14.20%,(X),74.70%,5.90%,,(X),86.80%,15.50%,(X),86.70%,15.70%,(X),100.00%,0.00%,(X),100.00%,0.00%,(X),100.00%,60.80%,(X),-,-,(X),-,-,(X),100.00%,0.00%,(X),100.00%,0.00%,,12.30%,15.70%,13.20%,0.00%,,(X),(X),(X),(X),(X),(X)
"Census Tract 9708.05, Carteret County, North Carolina!!Percent!!Margin of Error",,(X),±20.1,±15.9,±20.1,±29.0,(X),±1.9,±5.8,±6.2,±8.1,±4.3,±3.8,±5.4,±6.0,±6.6,(X),±9.8,±20.3,(X),±6.8,±21.0,(X),±6.5,±8.5,(X),±14.9,±5.5,,(X),±7.1,±5.5,(X),±7.2,±5.6,(X),±100.0,±100.0,(X),±100.0,±100.0,(X),±46.1,±42.0,(X),**,**,(X),**,**,(X),±36.9,±36.9,(X),±95.0,±95.0,,±12.8,±9.5,±9.5,±18.6,,(X),(X),(X),(X),(X),(X)
"Census Tract 9708.05, Carteret County, North Carolina!!Male!!Estimate",,68,7,8,53,0,611,25,74,227,129,77,46,33,512,79,62,49,17,121,112,18,272,229,35,156,122,9,,525,426,61,513,414,61,1,1,0,0,0,0,18,18,18,0,0,0,0,0,0,67,67,0,12,12,0,,(X),(X),(X),(X),,"45,982","31,296","46,696","41,364",-,"250,000+"
"Census Tract 9708.05, Carteret County, North Carolina!!Male!!Margin of Error",,±73,±12,±13,±68,±13,±96,±21,±42,±63,±47,±47,±30,±32,±93,±42,±36,±33,±20,±58,±57,±28,±68,±47,±24,±49,±39,±11,,±88,±94,±34,±89,±95,±34,±3,±3,±13,±13,±13,±13,±28,±28,±28,±13,±13,±13,±13,±13,±13,±38,±38,±13,±19,±19,±13,,(X),(X),(X),(X),,"±13,639","±1,415","±27,424","±23,604",**,***
"Census Tract 9708.05, Carteret County, North Carolina!!Percent Male!!Estimate",,(X),10.30%,11.80%,77.90%,0.00%,(X),4.10%,12.10%,37.20%,21.10%,12.60%,7.50%,5.40%,83.80%,12.90%,(X),79.00%,27.40%,(X),92.60%,14.90%,(X),84.20%,12.90%,(X),78.20%,5.80%,,(X),81.10%,11.60%,(X),80.70%,11.90%,(X),100.00%,0.00%,(X),-,-,(X),100.00%,100.00%,(X),-,-,(X),-,-,(X),100.00%,0.00%,(X),100.00%,0.00%,,17.20%,15.90%,5.30%,0.00%,,(X),(X),(X),(X),(X),(X)
"Census Tract 9708.05, Carteret County, North Carolina!!Percent Male!!Margin of Error",,(X),±24.3,±20.9,±29.8,±39.9,(X),±3.4,±6.8,±8.4,±7.8,±6.7,±4.6,±5.2,±7.4,±6.6,(X),±26.1,±23.7,(X),±10.5,±20.6,(X),±12.2,±10.1,(X),±20.0,±7.2,,(X),±9.1,±6.0,(X),±9.3,±6.2,(X),±100.0,±100.0,(X),**,**,(X),±77.5,±77.5,(X),**,**,(X),**,**,(X),±40.2,±40.2,(X),±95.0,±95.0,,±16.9,±15.0,±7.6,±36.9,,(X),(X),(X),(X),(X),(X)
"Census Tract 9708.05, Carteret County, North Carolina!!Female!!Estimate",,45,10,23,12,0,572,7,32,186,183,50,65,49,533,114,99,99,29,61,61,34,279,279,43,133,94,8,,522,483,101,522,483,101,3,3,0,2,2,0,33,33,13,0,0,0,0,0,0,12,12,0,0,0,0,,(X),(X),(X),(X),,"30,197",-,"45,774","20,826","42,917","76,875"
"Census Tract 9708.05, Carteret County, North Carolina!!Female!!Margin of Error",,±30,±13,±30,±15,±13,±91,±10,±35,±53,±81,±24,±34,±37,±90,±54,±54,±54,±26,±28,±28,±26,±69,±69,±29,±44,±30,±11,,±96,±93,±46,±96,±93,±46,±6,±6,±13,±5,±5,±13,±31,±31,±21,±13,±13,±13,±13,±13,±13,±16,±16,±13,±13,±13,±13,,(X),(X),(X),(X),,"±16,728",**,"±13,629","±3,748","±32,848","±75,757"
"Census Tract 9708.05, Carteret County, North Carolina!!Percent Female!!Estimate",,(X),22.20%,51.10%,26.70%,0.00%,(X),1.20%,5.60%,32.50%,32.00%,8.70%,11.40%,8.60%,93.20%,19.90%,(X),100.00%,29.30%,(X),100.00%,55.70%,(X),100.00%,15.40%,(X),70.70%,6.00%,,(X),92.50%,19.30%,(X),92.50%,19.30%,(X),100.00%,0.00%,(X),100.00%,0.00%,(X),100.00%,39.40%,(X),-,-,(X),-,-,(X),100.00%,0.00%,(X),-,-,,0.00%,15.60%,20.20%,0.00%,,(X),(X),(X),(X),(X),(X)
"Census Tract 9708.05, Carteret County, North Carolina!!Percent Female!!Margin of Error",,(X),±27.8,±41.6,±37.7,±49.0,(X),±1.7,±6.0,±9.6,±11.8,±4.1,±5.6,±6.4,±6.3,±8.9,(X),±32.0,±25.2,(X),±42.1,±26.8,(X),±13.3,±10.6,(X),±22.9,±8.4,,(X),±6.9,±8.4,(X),±6.9,±8.4,(X),±100.0,±100.0,(X),±100.0,±100.0,(X),±57.3,±43.9,(X),**,**,(X),**,**,(X),±95.0,±95.0,(X),**,**,,±52.7,±10.9,±16.8,±28.8,,(X),(X),(X),(X),(X),(X)
"Census Tract 9708.06, Carteret County, North Carolina!!Total!!Estimate",,167,19,69,76,3,"3,131",51,128,523,933,348,657,491,"2,952","1,148",260,240,105,647,641,219,"1,173","1,083",442,"1,051",988,382,,"3,002","2,826","1,112","2,960","2,784","1,072",42,42,0,3,3,0,22,22,14,7,4,4,16,16,6,39,39,12,66,66,46,,(X),(X),(X),(X),,"42,310",-,"30,817","40,561","56,250","73,929"
"Census Tract 9708.06, Carteret County, North Carolina!!Total!!Margin of Error",,±70,±19,±41,±52,±5,±365,±30,±51,±95,±322,±106,±103,±114,±359,±163,±101,±96,±56,±284,±283,±49,±159,±153,±89,±134,±129,±95,,±355,±345,±157,±351,±342,±155,±57,±57,±13,±5,±5,±13,±23,±23,±19,±11,±6,±6,±20,±20,±13,±48,±48,±15,±63,±63,±35,,(X),(X),(X),(X),,"±6,629",**,"±4,489","±3,803","±13,855","±35,608"
"Census Tract 9708.06, Carteret County, North Carolina!!Percent!!Estimate",,(X),11.40%,41.30%,45.50%,1.80%,(X),1.60%,4.10%,16.70%,29.80%,11.10%,21.00%,15.70%,94.30%,36.70%,(X),92.30%,40.40%,(X),99.10%,33.80%,(X),92.30%,37.70%,(X),94.00%,36.30%,,(X),94.10%,37.00%,(X),94.10%,36.20%,(X),100.00%,0.00%,(X),100.00%,0.00%,(X),100.00%,63.60%,(X),57.10%,57.10%,(X),100.00%,37.50%,(X),100.00%,30.80%,(X),100.00%,69.70%,,18.40%,16.80%,7.50%,3.10%,,(X),(X),(X),(X),(X),(X)
"Census Tract 9708.06, Carteret County, North Carolina!!Percent!!Margin of Error",,(X),±9.6,±23.5,±18.4,±2.9,(X),±1.0,±1.6,±3.5,±7.7,±3.4,±3.5,±3.7,±2.2,±5.6,(X),±7.6,±15.1,(X),±1.5,±16.6,(X),±4.8,±6.5,(X),±3.0,±9.0,,(X),±2.2,±5.8,(X),±2.3,±5.8,(X),±50.8,±50.8,(X),±100.0,±100.0,(X),±70.1,±49.1,(X),±21.2,±21.2,(X),±82.2,±56.9,(X),±52.7,±35.6,(X),±40.5,±36.8,,±11.3,±7.0,±4.1,±1.9,,(X),(X),(X),(X),(X),(X)
"Census Tract 9708.06, Carteret County, North Carolina!!Male!!Estimate",,122,10,62,50,0,"1,445",21,71,246,401,121,319,266,"1,353",585,124,109,40,330,324,100,495,447,200,496,473,245,,"1,372","1,280",555,"1,359","1,267",544,36,36,0,0,0,0,12,12,12,0,0,0,6,6,6,19,19,12,19,19,17,,(X),(X),(X),(X),,"57,045","78,333","31,683",-,"66,375","116,435"
"Census Tract 9708.06, Carteret County, North Carolina!!Male!!Margin of Error",,±57,±12,±41,±45,±13,±194,±15,±31,±60,±156,±45,±64,±103,±193,±118,±68,±62,±39,±143,±142,±32,±73,±64,±47,±94,±89,±89,,±187,±182,±113,±185,±181,±113,±54,±54,±13,±13,±13,±13,±18,±18,±18,±13,±13,±13,±13,±13,±13,±19,±19,±15,±27,±27,±26,,(X),(X),(X),(X),,"±13,723","±52,382","±4,661",**,"±5,897","±10,732"
"Census Tract 9708.06, Carteret County, North Carolina!!Percent Male!!Estimate",,(X),8.20%,50.80%,41.00%,0.00%,(X),1.50%,4.90%,17.00%,27.80%,8.40%,22.10%,18.40%,93.60%,40.50%,(X),87.90%,32.30%,(X),98.20%,30.30%,(X),90.30%,40.40%,(X),95.40%,49.40%,,(X),93.30%,40.50%,(X),93.20%,40.00%,(X),100.00%,0.00%,(X),-,-,(X),100.00%,100.00%,(X),-,-,(X),100.00%,100.00%,(X),100.00%,63.20%,(X),100.00%,89.50%,,19.60%,19.10%,3.10%,1.00%,,(X),(X),(X),(X),(X),(X)
"Census Tract 9708.06, Carteret County, North Carolina!!Percent Male!!Margin of Error",,(X),±9.7,±28.1,±26.2,±27.3,(X),±1.1,±2.2,±4.1,±8.6,±3.0,±4.7,±6.7,±2.6,±7.7,(X),±14.5,±25.0,(X),±2.9,±15.7,(X),±4.8,±8.4,(X),±2.5,±14.0,,(X),±2.7,±7.7,(X),±2.7,±7.8,(X),±54.8,±54.8,(X),**,**,(X),±95.0,±95.0,(X),**,**,(X),±100.0,±100.0,(X),±75.5,±36.1,(X),±75.5,±25.6,,±13.2,±12.8,±2.7,±1.1,,(X),(X),(X),(X),(X),(X)
"Census Tract 9708.06, Carteret County, North Carolina!!Female!!Estimate",,45,9,7,26,3,"1,686",30,57,277,532,227,338,225,"1,599",563,136,131,65,317,317,119,678,636,242,555,515,137,,"1,630","1,546",557,"1,601","1,517",528,6,6,0,3,3,0,10,10,2,7,4,4,10,10,0,20,20,0,47,47,29,,(X),(X),(X),(X),,"40,269","16,042","25,455","40,777","35,625","49,167"
"Census Tract 9708.06, Carteret County, North Carolina!!Female!!Margin of Error",,±29,±15,±8,±19,±5,±210,±25,±38,±68,±187,±104,±64,±56,±208,±88,±43,±43,±33,±149,±149,±30,±123,±126,±58,±84,±82,±41,,±206,±203,±88,±205,±201,±88,±9,±9,±13,±5,±5,±13,±15,±15,±5,±11,±6,±6,±15,±15,±13,±43,±43,±13,±49,±49,±21,,(X),(X),(X),(X),,"±5,755",±496,"±9,648","±5,714","±11,221","±22,755"
"Census Tract 9708.06, Carteret County, North Carolina!!Percent Female!!Estimate",,(X),20.00%,15.60%,57.80%,6.70%,(X),1.80%,3.40%,16.40%,31.60%,13.50%,20.00%,13.30%,94.80%,33.40%,(X),96.30%,47.80%,(X),100.00%,37.50%,(X),93.80%,35.70%,(X),92.80%,24.70%,,(X),94.80%,34.20%,(X),94.80%,33.00%,(X),100.00%,0.00%,(X),100.00%,0.00%,(X),100.00%,20.00%,(X),57.10%,57.10%,(X),100.00%,0.00%,(X),100.00%,0.00%,(X),100.00%,61.70%,,17.20%,14.80%,10.50%,5.30%,,(X),(X),(X),(X),(X),(X)
"Census Tract 9708.06, Carteret County, North Carolina!!Percent Female!!Margin of Error",,(X),±24.9,±17.3,±24.3,±10.6,(X),±1.5,±2.2,±4.6,±8.4,±6.0,±4.2,±3.4,±3.0,±5.7,(X),±5.4,±19.9,(X),±11.8,±19.7,(X),±5.7,±7.6,(X),±5.9,±7.8,,(X),±3.1,±6.1,(X),±3.2,±6.2,(X),±100.0,±100.0,(X),±100.0,±100.0,(X),±100.0,±42.6,(X),±21.2,±21.2,(X),±100.0,±100.0,(X),±73.6,±73.6,(X),±48.0,±47.5,,±16.2,±7.1,±6.3,±3.4,,(X),(X),(X),(X),(X),(X)
"Census Tract 9709.03, Carteret County, North Carolina!!Total!!Estimate",,11,0,5,6,0,936,0,0,140,182,122,278,214,936,492,52,52,30,72,72,16,417,417,230,395,395,216,,818,818,481,807,807,481,7,7,0,2,2,2,0,0,0,0,0,0,0,0,0,109,109,9,11,11,0,,(X),(X),(X),(X),,"32,402",-,"30,161","31,667","81,591",-
"Census Tract 9709.03, Carteret County, North Carolina!!Total!!Margin of Error",,±14,±13,±10,±10,±13,±142,±13,±13,±64,±71,±40,±81,±71,±142,±104,±31,±31,±26,±37,±37,±16,±105,±105,±77,±104,±104,±71,,±140,±140,±105,±137,±137,±105,±13,±13,±13,±3,±3,±3,±13,±13,±13,±13,±13,±13,±13,±13,±13,±87,±87,±17,±18,±18,±13,,(X),(X),(X),(X),,"±6,734",**,"±21,816","±4,370","±38,035",**
"Census Tract 9709.03, Carteret County, North Carolina!!Percent!!Estimate",,(X),0.00%,45.50%,54.50%,0.00%,(X),0.00%,0.00%,15.00%,19.40%,13.00%,29.70%,22.90%,100.00%,52.60%,(X),100.00%,57.70%,(X),100.00%,22.20%,(X),100.00%,55.20%,(X),100.00%,54.70%,,(X),100.00%,58.80%,(X),100.00%,59.60%,(X),100.00%,0.00%,(X),100.00%,100.00%,(X),-,-,(X),-,-,(X),-,-,(X),100.00%,8.30%,(X),100.00%,0.00%,,-,4.30%,1.60%,4.90%,,(X),(X),(X),(X),(X),(X)
"Census Tract 9709.03, Carteret County, North Carolina!!Percent!!Margin of Error",,(X),±99.2,±54.5,±54.5,±99.2,(X),±4.2,±4.2,±5.8,±6.1,±4.6,±7.8,±7.2,±4.2,±9.3,(X),±45.6,±32.5,(X),±38.8,±20.5,(X),±9.1,±12.6,(X),±9.6,±17.9,,(X),±4.8,±7.5,(X),±4.8,±7.6,(X),±100.0,±100.0,(X),±100.0,±100.0,(X),**,**,(X),**,**,(X),**,**,(X),±29.8,±18.5,(X),±99.2,±99.2,,**,±6.3,±2.6,±5.3,,(X),(X),(X),(X),(X),(X)
"Census Tract 9709.03, Carteret County, North Carolina!!Male!!Estimate",,11,0,5,6,0,462,0,0,51,106,47,146,112,462,258,27,27,13,42,42,8,212,212,128,181,181,109,,401,401,249,390,390,249,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,54,54,9,11,11,0,,(X),(X),(X),(X),,"27,431",-,"30,978","25,486","103,482",-
"Census Tract 9709.03, Carteret County, North Carolina!!Male!!Margin of Error",,±14,±13,±10,±10,±13,±81,±13,±13,±26,±55,±25,±55,±47,±81,±66,±20,±20,±15,±31,±31,±10,±67,±67,±52,±50,±50,±40,,±82,±82,±65,±80,±80,±65,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±44,±44,±17,±18,±18,±13,,(X),(X),(X),(X),,"±9,791",**,"±2,411","±15,375","±75,647",**
"Census Tract 9709.03, Carteret County, North Carolina!!Percent Male!!Estimate",,(X),0.00%,45.50%,54.50%,0.00%,(X),0.00%,0.00%,11.00%,22.90%,10.20%,31.60%,24.20%,100.00%,55.80%,(X),100.00%,48.10%,(X),100.00%,19.00%,(X),100.00%,60.40%,(X),100.00%,60.20%,,(X),100.00%,62.10%,(X),100.00%,63.80%,(X),100.00%,0.00%,(X),-,-,(X),-,-,(X),-,-,(X),-,-,(X),100.00%,16.70%,(X),100.00%,0.00%,,-,0.00%,0.00%,9.30%,,(X),(X),(X),(X),(X),(X)
"Census Tract 9709.03, Carteret County, North Carolina!!Percent Male!!Margin of Error",,(X),±99.2,±54.5,±54.5,±99.2,(X),±8.3,±8.3,±5.2,±10.7,±5.5,±10.0,±9.7,±8.3,±10.6,(X),±63.3,±43.3,(X),±50.8,±23.8,(X),±17.1,±14.0,(X),±19.7,±19.5,,(X),±9.5,±9.3,(X),±9.7,±9.4,(X),±100.0,±100.0,(X),**,**,(X),**,**,(X),**,**,(X),**,**,(X),±44.8,±33.4,(X),±99.2,±99.2,,**,±46.1,±22.7,±9.6,,(X),(X),(X),(X),(X),(X)
"Census Tract 9709.03, Carteret County, North Carolina!!Female!!Estimate",,0,0,0,0,0,474,0,0,89,76,75,132,102,474,234,25,25,17,30,30,8,205,205,102,214,214,107,,417,417,232,417,417,232,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,55,55,0,0,0,0,,(X),(X),(X),(X),,"38,839",-,"18,971","37,404","80,341","53,088"
"Census Tract 9709.03, Carteret County, North Carolina!!Female!!Margin of Error",,±13,±13,±13,±13,±13,±81,±13,±13,±58,±39,±33,±49,±39,±81,±59,±19,±19,±16,±23,±23,±9,±61,±61,±45,±62,±62,±40,,±73,±73,±59,±73,±73,±59,±13,±13,±13,±3,±3,±3,±13,±13,±13,±13,±13,±13,±13,±13,±13,±50,±50,±13,±13,±13,±13,,(X),(X),(X),(X),,"±10,233",**,"±7,254","±4,562","±49,210","±7,526"
"Census Tract 9709.03, Carteret County, North Carolina!!Percent Female!!Estimate",,(X),-,-,-,-,(X),0.00%,0.00%,18.80%,16.00%,15.80%,27.80%,21.50%,100.00%,49.40%,(X),100.00%,68.00%,(X),100.00%,26.70%,(X),100.00%,49.80%,(X),100.00%,50.00%,,(X),100.00%,55.60%,(X),100.00%,55.60%,(X),-,-,(X),100.00%,100.00%,(X),-,-,(X),-,-,(X),-,-,(X),100.00%,0.00%,(X),-,-,,-,6.70%,3.30%,0.00%,,(X),(X),(X),(X),(X),(X)
"Census Tract 9709.03, Carteret County, North Carolina!!Percent Female!!Margin of Error",,(X),**,**,**,**,(X),±8.1,±8.1,±10.7,±7.4,±7.2,±10.1,±7.6,±8.1,±11.2,(X),±65.8,±41.4,(X),±60.1,±30.2,(X),±17.6,±16.3,(X),±17.0,±18.3,,(X),±9.1,±9.8,(X),±9.1,±9.8,(X),**,**,(X),±100.0,±100.0,(X),**,**,(X),**,**,(X),**,**,(X),±44.4,±44.4,(X),**,**,,**,±10.2,±5.2,±15.7,,(X),(X),(X),(X),(X),(X)
"Census Tract 9709.04, Carteret County, North Carolina!!Total!!Estimate",,96,16,26,30,24,"2,216",39,55,334,438,271,641,438,"2,122","1,079",157,147,77,222,216,131,"1,061","1,009",530,776,750,341,,"2,139","2,045","1,036","2,116","2,022","1,013",7,7,0,23,23,23,0,0,0,6,6,6,0,0,0,41,41,14,23,23,23,,(X),(X),(X),(X),,"52,849",-,-,"43,250","44,013","76,250"
"Census Tract 9709.04, Carteret County, North Carolina!!Total!!Margin of Error",,±45,±17,±20,±32,±29,±162,±40,±38,±72,±120,±70,±154,±87,±160,±168,±67,±64,±37,±56,±54,±38,±145,±145,±138,±121,±117,±102,,±167,±166,±174,±173,±170,±177,±12,±12,±13,±23,±23,±23,±13,±13,±13,±9,±9,±9,±13,±13,±13,±30,±30,±16,±22,±22,±22,,(X),(X),(X),(X),,"±14,341",**,**,"±15,059","±20,290","±28,494"
"Census Tract 9709.04, Carteret County, North Carolina!!Percent!!Estimate",,(X),16.70%,27.10%,31.30%,25.00%,(X),1.80%,2.50%,15.10%,19.80%,12.20%,28.90%,19.80%,95.80%,48.70%,(X),93.60%,49.00%,(X),97.30%,59.00%,(X),95.10%,50.00%,(X),96.60%,43.90%,,(X),95.60%,48.40%,(X),95.60%,47.90%,(X),100.00%,0.00%,(X),100.00%,100.00%,(X),-,-,(X),100.00%,100.00%,(X),-,-,(X),100.00%,34.10%,(X),100.00%,100.00%,,0.00%,3.30%,4.10%,1.30%,,(X),(X),(X),(X),(X),(X)
"Census Tract 9709.04, Carteret County, North Carolina!!Percent!!Margin of Error",,(X),±16.1,±18.3,±28.6,±25.9,(X),±1.8,±1.7,±3.3,±5.1,±3.3,±6.1,±4.0,±2.4,±6.4,(X),±9.1,±17.3,(X),±3.9,±14.5,(X),±4.7,±10.5,(X),±2.0,±9.0,,(X),±2.5,±6.8,(X),±2.5,±6.9,(X),±100.0,±100.0,(X),±68.6,±68.6,(X),**,**,(X),±100.0,±100.0,(X),**,**,(X),±51.4,±41.7,(X),±68.6,±68.6,,±33.1,±4.2,±3.5,±2.0,,(X),(X),(X),(X),(X),(X)
"Census Tract 9709.04, Carteret County, North Carolina!!Male!!Estimate",,47,10,7,18,12,"1,068",33,45,83,250,100,304,253,990,557,42,42,4,90,84,60,560,508,281,376,356,212,,"1,051",973,540,"1,042",964,531,0,0,0,4,4,4,0,0,0,6,6,6,0,0,0,7,7,7,9,9,9,,(X),(X),(X),(X),,"66,453",-,-,"41,917","135,114","103,333"
"Census Tract 9709.04, Carteret County, North Carolina!!Male!!Margin of Error",,±27,±14,±12,±18,±20,±97,±40,±35,±35,±72,±44,±100,±60,±108,±106,±32,±32,±6,±36,±35,±24,±84,±97,±84,±73,±71,±73,,±99,±109,±108,±102,±110,±109,±13,±13,±13,±6,±6,±6,±13,±13,±13,±9,±9,±9,±13,±13,±13,±9,±9,±9,±14,±14,±14,,(X),(X),(X),(X),,"±19,011",**,**,"±15,874","±98,796","±51,634"
"Census Tract 9709.04, Carteret County, North Carolina!!Percent Male!!Estimate",,(X),21.30%,14.90%,38.30%,25.50%,(X),3.10%,4.20%,7.80%,23.40%,9.40%,28.50%,23.70%,92.70%,52.20%,(X),100.00%,9.50%,(X),93.30%,66.70%,(X),90.70%,50.20%,(X),94.70%,56.40%,,(X),92.60%,51.40%,(X),92.50%,51.00%,(X),-,-,(X),100.00%,100.00%,(X),-,-,(X),100.00%,100.00%,(X),-,-,(X),100.00%,100.00%,(X),100.00%,100.00%,,0.00%,10.80%,1.40%,2.50%,,(X),(X),(X),(X),(X),(X)
"Census Tract 9709.04, Carteret County, North Carolina!!Percent Male!!Margin of Error",,(X),±28.2,±23.5,±36.6,±34.4,(X),±3.8,±3.2,±3.2,±6.5,±4.1,±8.5,±5.4,±4.8,±8.1,(X),±50.8,±15.0,(X),±9.9,±23.4,(X),±9.0,±12.1,(X),±3.4,±11.1,,(X),±4.8,±8.3,(X),±4.8,±8.4,(X),**,**,(X),±100.0,±100.0,(X),**,**,(X),±100.0,±100.0,(X),**,**,(X),±100.0,±100.0,(X),±100.0,±100.0,,±37.2,±12.8,±2.1,±3.9,,(X),(X),(X),(X),(X),(X)
"Census Tract 9709.04, Carteret County, North Carolina!!Female!!Estimate",,49,6,19,12,12,"1,148",6,10,251,188,171,337,185,"1,132",522,115,105,73,132,132,71,501,501,249,400,394,129,,"1,088","1,072",496,"1,074","1,058",482,7,7,0,19,19,19,0,0,0,0,0,0,0,0,0,34,34,7,14,14,14,,(X),(X),(X),(X),,"35,493",-,-,-,"35,724","64,500"
"Census Tract 9709.04, Carteret County, North Carolina!!Female!!Margin of Error",,±33,±9,±16,±16,±18,±94,±9,±15,±69,±65,±59,±81,±48,±94,±90,±50,±47,±38,±43,±43,±33,±85,±85,±72,±63,±62,±43,,±95,±96,±95,±99,±99,±96,±12,±12,±13,±22,±22,±22,±13,±13,±13,±13,±13,±13,±13,±13,±13,±29,±29,±13,±16,±16,±16,,(X),(X),(X),(X),,"±16,591",**,**,**,"±20,133","±19,719"
"Census Tract 9709.04, Carteret County, North Carolina!!Percent Female!!Estimate",,(X),12.20%,38.80%,24.50%,24.50%,(X),0.50%,0.90%,21.90%,16.40%,14.90%,29.40%,16.10%,98.60%,45.50%,(X),91.30%,63.50%,(X),100.00%,53.80%,(X),100.00%,49.70%,(X),98.50%,32.30%,,(X),98.50%,45.60%,(X),98.50%,44.90%,(X),100.00%,0.00%,(X),100.00%,100.00%,(X),-,-,(X),-,-,(X),-,-,(X),100.00%,20.60%,(X),100.00%,100.00%,,0.00%,0.80%,6.70%,0.00%,,(X),(X),(X),(X),(X),(X)
